t为:0.000,输出为:3.000
t为:0.001,输出为:2.996
t为:0.002,输出为:2.986
t为:0.003,输出为:2.969
t为:0.004,输出为:2.947
t为:0.005,输出为:2.921
t为:0.006,输出为:2.889
t为:0.007,输出为:2.854
t为:0.008,输出为:2.815
t为:0.009,输出为:2.774
t为:0.010,输出为:2.729
t为:0.011,输出为:2.683
t为:0.012,输出为:2.634
t为:0.013,输出为:2.584
t为:0.014,输出为:2.533
t为:0.015,输出为:2.480
t为:0.016,输出为:2.426
t为:0.017,输出为:2.372
t为:0.018,输出为:2.317
t为:0.019,输出为:2.262
t为:0.020,输出为:2.207
t为:0.021,输出为:2.152
t为:0.022,输出为:2.097
t为:0.023,输出为:2.042
t为:0.024,输出为:1.988
t为:0.025,输出为:1.934
t为:0.026,输出为:1.880
t为:0.027,输出为:1.828
t为:0.028,输出为:1.775
t为:0.029,输出为:1.724
t为:0.030,输出为:1.673
t为:0.031,输出为:1.624
t为:0.032,输出为:1.575
t为:0.033,输出为:1.527
t为:0.034,输出为:1.480
t为:0.035,输出为:1.434
t为:0.036,输出为:1.389
t为:0.037,输出为:1.344
t为:0.038,输出为:1.301
t为:0.039,输出为:1.259
t为:0.040,输出为:1.218
t为:0.041,输出为:1.178
t为:0.042,输出为:1.139
t为:0.043,输出为:1.101
t为:0.044,输出为:1.064
t为:0.045,输出为:1.028
t为:0.046,输出为:0.993
t为:0.047,输出为:0.958
t为:0.048,输出为:0.925
t为:0.049,输出为:0.893
t为:0.050,输出为:0.862
t为:0.051,输出为:0.832
t为:0.052,输出为:0.802
t为:0.053,输出为:0.774
t为:0.054,输出为:0.746
t为:0.055,输出为:0.719
t为:0.056,输出为:0.693
t为:0.057,输出为:0.668
t为:0.058,输出为:0.644
t为:0.059,输出为:0.620
t为:0.060,输出为:0.597
t为:0.061,输出为:0.575
t为:0.062,输出为:0.554
t为:0.063,输出为:0.534
t为:0.064,输出为:0.514
t为:0.065,输出为:0.494
t为:0.066,输出为:0.476
t为:0.067,输出为:0.458
t为:0.068,输出为:0.441
t为:0.069,输出为:0.424
t为:0.070,输出为:0.408
t为:0.071,输出为:0.392
t为:0.072,输出为:0.377
t为:0.073,输出为:0.363
t为:0.074,输出为:0.349
t为:0.075,输出为:0.335
t为:0.076,输出为:0.322
t为:0.077,输出为:0.310
t为:0.078,输出为:0.298
t为:0.079,输出为:0.286
t为:0.080,输出为:0.275
t为:0.081,输出为:0.264
t为:0.082,输出为:0.254
t为:0.083,输出为:0.244
t为:0.084,输出为:0.234
t为:0.085,输出为:0.225
t为:0.086,输出为:0.216
t为:0.087,输出为:0.207
t为:0.088,输出为:0.199
t为:0.089,输出为:0.191
t为:0.090,输出为:0.183
t为:0.091,输出为:0.176
t为:0.092,输出为:0.169
t为:0.093,输出为:0.162
t为:0.094,输出为:0.156
t为:0.095,输出为:0.149
t为:0.096,输出为:0.143
t为:0.097,输出为:0.137
t为:0.098,输出为:0.132
t为:0.099,输出为:0.126
t为:0.100,输出为:0.121
t为:0.101,输出为:0.116
t为:0.102,输出为:0.112
t为:0.103,输出为:0.107
t为:0.104,输出为:0.103
t为:0.105,输出为:0.098
t为:0.106,输出为:0.094
t为:0.107,输出为:0.090
t为:0.108,输出为:0.087
t为:0.109,输出为:0.083
t为:0.110,输出为:0.080
t为:0.111,输出为:0.076
t为:0.112,输出为:0.073
t为:0.113,输出为:0.070
t为:0.114,输出为:0.067
t为:0.115,输出为:0.064
t为:0.116,输出为:0.062
t为:0.117,输出为:0.059
t为:0.118,输出为:0.057
t为:0.119,输出为:0.054
t为:0.120,输出为:0.052
t为:0.121,输出为:0.050
t为:0.122,输出为:0.048
t为:0.123,输出为:0.046
t为:0.124,输出为:0.044
t为:0.125,输出为:0.042
t为:0.126,输出为:0.040
t为:0.127,输出为:0.039
t为:0.128,输出为:0.037
t为:0.129,输出为:0.035
t为:0.130,输出为:0.034
t为:0.131,输出为:0.032
t为:0.132,输出为:0.031
t为:0.133,输出为:0.030
t为:0.134,输出为:0.028
t为:0.135,输出为:0.027
t为:0.136,输出为:0.026
t为:0.137,输出为:0.025
t为:0.138,输出为:0.024
t为:0.139,输出为:0.023
t为:0.140,输出为:0.022
